"WORD","HITS"
"أحد","1"
"أحسنت","1"
"أسد","1"
"أين","1"
"ابحث","1"
"اختر","1"
"اربط","1"
"اسم","1"
"اضغط","1"
"الأسد","1"
"الألف","1"
"الباء","1"
"البقرة","1"
"التّاء","1"
"التّمساح","1"
"الثّاء","1"
"الثّعبان","1"
"الجمل","1"
"الجّيم","1"
"الحاء","1"
"الحرف","1"
"الحروف","1"
"الحصان","1"
"الحيوان","1"
"الخاء","1"
"الخروف","1"
"الدّال","1"
"الدّلفين","1"
"الذّئب","1"
"الذّاء","1"
"الرّاء","1"
"الرّاكون","1"
"الزّاد","1"
"الزّرافة","1"
"السّلحفات","1"
"السّين","1"
"الشّبل","1"
"الشّين","1"
"الصرّار","1"
"الصوت","1"
"الصوّت","1"
"الصّاد","1"
"الصّوت","1"
"الضّاد","1"
"الضّفدعة","1"
"الطاء","1"
"الطّاد","1"
"الطّاووس","1"
"الظّاد","1"
"الظّبي","1"
"العصفور","1"
"العين","1"
"الغاء","1"
"الغزالة","1"
"الفاء","1"
"الفيل","1"
"القاف","1"
"القرد","1"
"الكاف","1"
"الكلب","1"
"اللأسد","1"
"اللاّم","1"
"اللّبؤة","1"
"المتشابهات","1"
"المجموعة","1"
"المعزة","1"
"المناسب","1"
"المناسبة","1"
"الميم","1"
"النّعامة","1"
"النّعامه","1"
"النّون","1"
"الهاء","1"
"الهدهد","1"
"الواو","1"
"الوزّة","1"
"الياء","1"
"اليمامة","1"
"اين","1"
"باسم","1"
"بصورته","1"
"بقرة","1"
"تمساح","1"
"ثعبان","1"
"جمل","1"
"حرف","1"
"حصان","1"
"خروف","1"
"دلفين","1"
"ذئب","1"
"راكون","1"
"رجوع","1"
"سلحفات","1"
"شبل","1"
"صرّار","1"
"صورة","1"
"ضفدعة","1"
"طاووس","1"
"ظبي","1"
"على","1"
"عن","1"
"غزالة","1"
"فيل","1"
"قرد","1"
"كلب","1"
"كلمة","1"
"كون","1"
"كوّن","1"
"لبؤة","1"
"لسماع","1"
"مستوى","1"
"معزة","1"
"من","1"
"نعامة","1"
"هدهد","1"
"وزّة","1"
"يمامة","1"
"adios","1"
"ahmar","1"
"ajdar","1"
"akli","1"
"alaikum","1"
"aljair","1"
"almería","1"
"alwan","1"
"amarillo","1"
"arrasás","1"
"asfar","1"
"assalam","1"
"assalamu","1"
"azraq","1"
"azul","1"
"baño","1"
"bienvenido","1"
"blanco","1"
"borrar","1"
"bravo","1"
"buenas","1"
"buenos","1"
"cabeza","1"
"camiseta","1"
"casa","1"
"castellano","1"
"chilaba","1"
"ciyab","1"
"clase","1"
"cocina","1"
"colegio","1"
"color","1"
"colores","1"
"comedor","1"
"comienza","1"
"comprado","1"
"construye","1"
"cuaderno","1"
"cuarto","1"
"cuerpo","1"
"curso","1"
"daftar","1"
"descubre","1"
"dias","1"
"dice","1"
"dicen","1"
"dormitorio","1"
"dájilí","1"
"estuche","1"
"estupendo","1"
"faltan","1"
"fantástico","1"
"fustán","1"
"ghurfatu","1"
"goma","1"
"guardado","1"
"hammám","1"
"hidá","1"
"hola","1"
"hoy","1"
"humano","1"
"imhat","1"
"imhát","1"
"jugadores","1"
"junto","1"
"kitab","1"
"libro","1"
"lápiz","1"
"maa","1"
"malábis","1"
"manos","1"
"mapa","1"
"marhaba","1"
"marruecos","1"
"masa","1"
"matbaj","1"
"metido","1"
"mimhát","1"
"minyara","1"
"mirhad","1"
"mochila","1"
"nnawm","1"
"nombre","1"
"nombres","1"
"nuevo","1"
"objeto","1"
"palabras","1"
"pantalón","1"
"partes","1"
"pies","1"
"portada","1"
"prenda","1"
"prendas","1"
"pronuncia","1"
"puzzle","1"
"qalam","1"
"qamís","1"
"ra","1"
"recuerdas","1"
"rojo","1"
"sabah","1"
"sacapuntas","1"
"sala","1"
"salama","1"
"saludos","1"
"saq","1"
"sirwál","1"
"suena","1"
"sála","1"
"tardes","1"
"tronco","1"
"ver","1"
"verde","1"
"vestido","1"
"vestir","1"
"yad","1"
"yasad","1"
"yed","1"
"yilbáb","1"
"zapatos","1"
"árabe","1"
"أبيض","1"
"أحمر","1"
"أخضر","1"
"أزرق","1"
"أصفر","1"
"الأكل","1"
"الألوان","1"
"البشري","1"
"الجسم","1"
"الخير","1"
"الرصاص","1"
"السلام","1"
"السلامة","1"
"المنزل","1"
"ثياب","1"
"جدع","1"
"جسم","1"
"جلباب","1"
"حداء","1"
"حمام","1"
"داخلي","1"
"دفتر","1"
"رأس","1"
"ساق","1"
"سروال","1"
"سهلا","1"
"صالة","1"
"صباح","1"
"غرفة","1"
"فستان","1"
"قلم","1"
"قميص","1"
"كتاب","1"
"مبراه","1"
"مرحاض","1"
"مرحبا","1"
"مساء","1"
"مطبخ","1"
"مع","1"
"ملابس","1"
"ممحات","1"
"منجرة","1"
"نوم","1"
"هلا","1"
"يد","1"
