"WORD","HITS"
"amagar","30"
"ara","427"
"armada","3"
"associa","129"
"calvo","5"
"cap","484"
"carlos","9"
"carrillo","3"
"casa","305"
"comunista","5"
"coneixem","42"
"convertir","69"
"cop","170"
"coronel","1"
"després","414"
"dies","153"
"dur","94"
"electe","1"
"encara","237"
"espanya","90"
"espanyol","38"
"exassessor","1"
"fixa","184"
"general","87"
"genial","377"
"govern","51"
"gutiérrez","3"
"igualada","16"
"imatge","377"
"institut","33"
"investidura","2"
"joan","162"
"juan","23"
"judit","7"
"leopoldo","2"
"massa","154"
"mellado","1"
"mercader","7"
"moment","110"
"morera","13"
"nom","674"
"parar","64"
"partit","52"
"pensa","111"
"pensat","28"
"poc","271"
"president","43"
"protagonista","22"
"protagonistes","15"
"recorda","144"
"rei","127"
"ràpid","92"
"santiago","15"
"seguim","28"
"serra","79"
"seva","553"
"sotelo","2"
"suárez","4"
"sí","212"
"tampoc","36"
"tejero","1"
"tinent","2"
"tou","32"
"veu","130"
"vicepresident","2"
"ampolles","36"
"aquella","81"
"aquest","636"
"arribar","214"
"blau","140"
"brics","3"
"brossa","11"
"bruta","22"
"busca","550"
"cartró","27"
"ciutat","190"
"color","246"
"colors","152"
"compta","61"
"contaminada","7"
"contenidor","28"
"correcte","331"
"cosa","189"
"cubi","1"
"cubis","1"
"cuidar","15"
"diaris","33"
"ef","4"
"encarregat","35"
"finalment","78"
"flors","128"
"gent","161"
"ghi","25"
"groc","106"
"havia","222"
"jugar","124"
"llaunes","27"
"lletres","353"
"marró","42"
"menja","103"
"menjar","214"
"necessitava","5"
"noms","275"
"organic","1"
"orgànic","6"
"paper","167"
"papers","32"
"parella","216"
"planeta","69"
"plantes","170"
"plastic","8"
"plasticn","1"
"plàstic","55"
"puzzle","183"
"quedar","85"
"reciclar","17"
"recollir","53"
"recordar","41"
"recordes","66"
"reduir","22"
"rentar","56"
"residu","16"
"reutilitzar","7"
"sobte","20"
"sopa","294"
"sóc","135"
"tenien","99"
"tirem","4"
"tota","224"
"tots","425"
"tria","385"
"vegada","171"
"verd","124"
"vet","18"
"vidre","77"
"viure","173"
"acabis","60"
"accions","46"
"acció","71"
"adequada","144"
"adorm","4"
"agafa","69"
"agafar","98"
"agafaran","2"
"agafarà","4"
"agafaré","4"
"agafava","5"
"agafem","11"
"agafen","16"
"agafes","7"
"agafeu","4"
"agafo","6"
"agulla","41"
"ahir","55"
"aigua","373"
"aiguamolls","20"
"aixafar","5"
"aixeca","20"
"aixecar","43"
"aixecarà","3"
"aixecaré","2"
"aixecava","4"
"aixeco","5"
"aixequen","10"
"aixeques","6"
"aixeta","37"
"això","342"
"ajudar","83"
"ajup","2"
"ajupim","2"
"ajupir","5"
"ajups","1"
"albert","31"
"amaga","36"
"amagaran","2"
"amagarem","2"
"amagarà","2"
"amagaràs","1"
"amagaré","1"
"amagava","4"
"amago","1"
"amaguem","1"
"amaguen","18"
"amagues","3"
"amagueu","2"
"amic","79"
"amics","117"
"amigues","45"
"anem","121"
"animals","292"
"anirà","25"
"aniré","23"
"anna","60"
"aquestes","475"
"arbre","160"
"arribarem","6"
"arribem","11"
"arribo","4"
"arromanga","1"
"arromangar","3"
"arromango","1"
"arromanguen","1"
"arromangues","1"
"atenció","203"
"autobús","55"
"avaluació","301"
"avi","57"
"avis","38"
"avui","150"
"badalla","2"
"badallar","8"
"badallarà","1"
"badallaré","1"
"badallava","2"
"badallem","1"
"badallen","1"
"badalles","1"
"badallo","1"
"baixa","129"
"baixar","52"
"baixaran","1"
"baixaré","1"
"baixaven","7"
"baixen","18"
"baixes","51"
"baixeu","2"
"baixo","8"
"ballen","16"
"banya","28"
"banyar","30"
"banyaran","3"
"banyarem","1"
"banyaven","3"
"banyem","2"
"banyen","3"
"banyera","22"
"banyeu","1"
"banyo","1"
"baralla","7"
"barallar","17"
"barallaran","1"
"barallaràs","1"
"barallaré","1"
"barallaven","1"
"barallen","1"
"baralles","4"
"baralleu","1"
"bata","23"
"ben","284"
"benvinguts","84"
"besa","3"
"besar","6"
"besem","1"
"besen","1"
"beu","22"
"beuran","2"
"beure","69"
"beurem","2"
"beuràs","4"
"beurè","1"
"beus","1"
"bevem","6"
"blava","57"
"bo","89"
"bolets","28"
"bona","270"
"bosc","136"
"bruixa","27"
"buscar","109"
"buscarà","2"
"buscaràs","1"
"buscaré","1"
"buscava","7"
"busco","6"
"busques","11"
"bàsquet","39"
"cadira","83"
"caigut","24"
"calenta","38"
"calgui","34"
"camina","39"
"caminar","59"
"caminarà","2"
"caminem","8"
"caminen","16"
"camines","7"
"camino","10"
"camins","33"
"camisa","70"
"canta","48"
"cantants","9"
"cantar","65"
"cantaran","4"
"cantarem","4"
"cantaré","2"
"cantava","18"
"cantaven","9"
"cantem","10"
"canten","20"
"canto","7"
"cantàvem","6"
"canvia","62"
"cançó","90"
"cara","111"
"caramels","32"
"carles","56"
"carme","38"
"carrer","133"
"carta","64"
"cau","80"
"cauen","36"
"caure","82"
"caurem","2"
"caurà","3"
"caus","8"
"cerilla","1"
"cirdava","1"
"classe","117"
"classes","75"
"clica","455"
"cliqueu","15"
"clàudia","6"
"cola","27"
"collim","4"
"collir","31"
"colliu","2"
"colònia","37"
"comencem","50"
"començar","242"
"compra","59"
"comprar","106"
"comprem","10"
"compren","22"
"compres","12"
"compreu","4"
"compro","17"
"conductor","32"
"condueix","19"
"condueixo","6"
"conduim","1"
"conduir","25"
"conduixes","1"
"contar","13"
"conte","87"
"content","33"
"copia","34"
"cor","94"
"corda","76"
"cordar","9"
"cordareu","1"
"cordarà","1"
"cordaré","1"
"cordem","1"
"cordo","2"
"corre","44"
"corregim","1"
"corren","15"
"correr","5"
"correran","1"
"corro","11"
"cos","234"
"coses","214"
"cosim","2"
"cosina","36"
"cosir","28"
"cosirem","1"
"cotxe","149"
"crema","36"
"cremar","32"
"cremaré","1"
"cremem","3"
"cremen","7"
"cremes","3"
"crida","24"
"cridar","44"
"cridarà","1"
"cridaré","2"
"crido","3"
"cromo","7"
"cull","13"
"cullen","12"
"cullo","3"
"cura","72"
"curar","29"
"curem","1"
"curen","1"
"cures","2"
"cus","9"
"córrer","59"
"damunt","259"
"daniel","24"
"darrere","67"
"david","28"
"demanar","56"
"demà","54"
"desperta","12"
"despertador","16"
"despertar","21"
"despertarà","2"
"despertaré","4"
"desperten","3"
"desperto","2"
"desperts","2"
"despulla","1"
"despullar","11"
"despullarem","1"
"despullarà","1"
"despullava","1"
"despullem","1"
"despulles","3"
"despulleu","1"
"despullo","2"
"dibuix","275"
"dibuixa","19"
"dibuixar","29"
"dibuixarà","1"
"dibuixaràs","3"
"dibuixaré","1"
"dibuixava","2"
"dibuixaves","2"
"dibuixen","5"
"dibuixes","1"
"dibuixo","1"
"dinar","50"
"dindré","1"
"dir","284"
"dit","102"
"diu","230"
"diuen","127"
"dius","20"
"divertit","25"
"dona","132"
"donar","182"
"donarà","30"
"donava","22"
"donem","19"
"donen","88"
"dones","78"
"doneu","4"
"dorm","21"
"dormen","12"
"dormia","9"
"dormim","5"
"dormir","61"
"dormirà","2"
"dormiré","1"
"dormiu","5"
"dormo","2"
"dorms","2"
"dotze","78"
"dutxa","40"
"dutxar","19"
"dutxem","3"
"dóna","197"
"eixuga","8"
"eixugar","14"
"eixugareu","1"
"eixugo","1"
"eixugues","1"
"em","243"
"embruta","7"
"embrutar","16"
"embrutaran","1"
"embrutarem","1"
"embrutaré","1"
"embrutem","1"
"embruten","3"
"embrutes","2"
"embruteu","5"
"embruto","1"
"embrutàvem","1"
"empeny","9"
"empenyen","1"
"empenyer","2"
"empènyer","13"
"encenc","2"
"encendre","24"
"encendrà","1"
"encendré","1"
"enceneu","4"
