"WORD","HITS"
"abcdefghijk","1"
"aber","2"
"abgelaufen","1"
"abgewandelt","1"
"ability","1"
"abschließt","1"
"absätze","1"
"abzurufen","1"
"ac","1"
"accident","1"
"affect","1"
"afric","1"
"africa","1"
"ag","1"
"agreed","1"
"ai","1"
"alaska","1"
"align","1"
"alle","1"
"alles","3"
"alphafilter","1"
"america","1"
"american","1"
"anc","1"
"andere","1"
"anderen","1"
"angeles","1"
"anhören","1"
"animal","1"
"animated","1"
"animationen","1"
"animierten","1"
"anklicken","1"
"announced","1"
"anschließend","1"
"anzahl","1"
"anzeige","1"
"anzuhören","1"
"ar","1"
"argentina","1"
"arith","1"
"arrives","1"
"art","1"
"arten","1"
"article","2"
"asia","1"
"ate","1"
"au","1"
"auch","3"
"auf","3"
"aufdeckt","1"
"aufgedeckt","1"
"aufgenommene","1"
"aufgenommenen","1"
"aufgeschrieben","1"
"aufnehmen","1"
"aufschreiben","1"
"aufsteigender","1"
"aufzudecken","1"
"aufzunehmen","1"
"aus","3"
"ausgebessert","1"
"austauschen","1"
"australia","1"
"australien","1"
"auswahl","1"
"auswahlliste","1"
"auszuschneiden","1"
"auto","1"
"automatisch","1"
"avi","1"
"ayuda","1"
"ba","1"
"babies","1"
"bach","1"
"backward","1"
"bank","1"
"beautiful","1"
"bees","1"
"beethoven","1"
"begriffsbestimmung","1"
"begriffsbestimmungen","1"
"begriffsdefinitionen","1"
"bei","1"
"beim","2"
"beinhalten","1"
"beinhaltet","1"
"beispiel","1"
"beispiele","1"
"beispielsweise","1"
"bekommst","1"
"beliebige","1"
"benutzerdefinierten","1"
"benutzeroberfläche","1"
"bereit","1"
"berühmten","1"
"beschreibung","1"
"beschreibungen","1"
"besitzanzeigend","1"
"bessere","1"
"bestehen","1"
"bestimmte","1"
"bestimmten","1"
"betonten","1"
"bezierkurven","1"
"bgcolor","1"
"bi","1"
"bicycle","1"
"biegung","1"
"bike","1"
"bild","1"
"bilder","1"
"bildern","1"
"bildschirm","1"
"birne","1"
"bist","2"
"bk","1"
"black","1"
"blah","1"
"blaue","1"
"blauen","1"
"blauer","2"
"body","1"
"bolivia","1"
"boliviau","1"
"book","1"
"border","1"
"box","1"
"br","1"
"brahms","1"
"brasil","1"
"break","1"
"bring","1"
"bringe","1"
"brought","1"
"brüll","1"
"brüülll","1"
"brüüülll","1"
"bsp","1"
"buchstaben","1"
"buttons","1"
"bzw","1"
"california","1"
"canada","1"
"candidate","1"
"car","1"
"care","1"
"careless","1"
"caribbean","1"
"carrying","1"
"casablanca","1"
"casillas","1"
"cat","1"
"catalonia","1"
"catalunya","1"
"caused","1"
"cd","1"
"ce","1"
"center","1"
"cf","1"
"chance","1"
"chief","1"
"chile","1"
"china","1"
"choice","1"
"circumstances","1"
"city","1"
"cl","1"
"climbs","1"
"cloth","1"
"clothes","1"
"club","1"
"cm","1"
"coaliti","1"
"coffee","1"
"colombia","1"
"color","1"
"comb","1"
"comic","1"
"compensation","1"
"consonant","1"
"contenidos","1"
"content","1"
"cook","1"
"couldn","1"
"cr","1"
"crossing","1"
"cs","1"
"cu","1"
"dance","1"
"danced","1"
"danger","1"
"dann","2"
"darstellung","1"
"das","3"
"dass","1"
"daten","1"
"day","1"
"dazugehörige","1"
"deal","1"
"deep","1"
"deinem","1"
"dem","2"
"demo","1"
"den","3"
"der","3"
"desplegables","1"
"diagonal","1"
"diagramm","1"
"dich","2"
"die","3"
"diese","2"
"diesem","1"
"diesen","1"
"dieser","1"
"dieses","2"
"diesselben","1"
"diktat","1"
"diktats","1"
"dinnertime","1"
"dive","1"
"dogs","1"
"dokumente","1"
"domestic","1"
"drank","1"
"dreieckige","1"
"dry","1"
"du","3"
"dumpty","1"
"durch","1"
"durcheinander","1"
"dutch","1"
"duty","1"
"dy","1"
"earn","1"
"east","1"
"eastern","1"
"eat","1"
"eaten","1"
"eb","1"
"ecuador","1"
"edible","1"
"ein","3"
"einbettung","1"
"eine","3"
"einem","3"
"einen","3"
"einer","2"
"eines","1"
"einfache","1"
"eingeben","1"
"eingeteilt","1"
"einige","2"
"einleitung","1"
"einzeln","1"
"einzelne","1"
"einzusetzenden","1"
"eisen","1"
"elect","1"
"electi","1"
"election","1"
"elections","1"
"elemente","1"
"elementen","1"
"elements","2"
"ellipse","1"
"ellipsen","1"
"energy","1"
"englisch","1"
"englische","1"
"englischen","1"
"englisches","1"
"enjoy","1"
"ensure","1"
"enthalten","1"
"enthält","1"
"equal","1"
"er","3"
"erfolgreich","1"
"ergänzen","1"
"ergänzt","1"
"erscheinen","1"
"erscheint","1"
"erstellen","1"
"erstellt","1"
"escape","1"
"essential","1"
"eu","1"
"europe","1"
"european","1"
"exactly","1"
"exceptions","1"
"excess","1"
"excuse","1"
"expected","1"
"external","1"
"extra","1"
"extremely","1"
"exzellent","1"
"fahrrad","2"
"fahrzeuge","1"
"fall","1"
"falsch","1"
"falschschreibungen","1"
"faraway","1"
"farb","1"
"farbe","1"
"farben","2"
"fe","1"
"features","1"
"feel","1"
"fehlen","1"
"fehler","1"
"feld","1"
"felder","1"
"feldern","1"
"fell","1"
"fenster","1"
"fenstern","1"
"file","1"
"files","1"
"film","1"
"filme","1"
"finde","2"
"finden","2"
"fish","1"
"flash","1"
"flock","1"
"flowers","1"
"fm","1"
"font","1"
"fonts","1"
"food","1"
"form","1"
"formatierter","1"
"formen","2"
"fr","1"
"freedom","1"
"frei","1"
"french","1"
"friends","1"
"früchte","2"
"funicular","1"
"für","2"
"ga","1"
"gaps","1"
"gas","1"
"gase","1"
"gd","1"
"ge","1"
"gebracht","1"
"gefunden","1"
"geladen","1"
"gelöst","1"
"gemacht","3"
"geordnet","1"
"gesamten","1"
"geschafft","2"
"geschichte","1"
"geschrieben","1"
"gesprochene","1"
"gestaltet","1"
"gestalteten","1"
"gewürfelte","1"
"gezahnt","1"
"gibt","3"
"gif","1"
"gifs","1"
"girlfriend","1"
"gleich","1"
"gleiche","1"
"going","1"
"gradienten","1"
"grafik","1"
"grafiken","1"
"grafisch","1"
"grafische","1"
"great","1"
"green","1"
"greenland","1"
"gress","1"
"group","1"
"gruppennamen","1"
"größe","1"
"größen","1"
"gu","1"
"gut","3"
"guyana","1"
"haben","2"
"handgezeichnete","1"
"hast","2"
"hauptmenü","1"
"hauptwörter","1"
"headfirst","1"
"health","1"
"heavy","1"
"heißen","1"
"held","1"
"help","1"
"herausgeschnitten","1"
