"WORD","HITS"
"april","11"
"arm","11"
"august","9"
"autumn","9"
"bag","11"
"bathroom","8"
"bed","21"
"bedroom","9"
"bird","22"
"black","35"
"blackboard","8"
"blue","31"
"body","24"
"book","26"
"bridge","9"
"brown","27"
"cap","11"
"car","29"
"case","14"
"cat","35"
"chair","18"
"check","31"
"classroom","8"
"click","59"
"clock","16"
"clocks","1"
"clothes","17"
"colours","15"
"complete","46"
"correct","49"
"cow","13"
"crocodile","10"
"crosswords","3"
"cupboard","6"
"days","12"
"december","14"
"desk","5"
"dining","8"
"dog","36"
"duck","12"
"ear","11"
"ee","6"
"eighteen","11"
"elephant","21"
"eleven","16"
"escrits","3"
"eye","14"
"farm","5"
"february","10"
"fifteen","11"
"find","96"
"fish","34"
"foot","12"
"fourteen","12"
"friday","10"
"garden","10"
"giraffe","11"
"green","40"
"grey","13"
"habitat","4"
"hair","24"
"half","12"
"hamster","6"
"hand","14"
"hat","14"
"head","18"
"hen","9"
"hippopotamus","1"
"horse","18"
"house","40"
"january","15"
"july","10"
"june","10"
"kitchen","12"
"le","4"
"learn","46"
"leg","11"
"lion","16"
"listen","71"
"living","10"
"lletres","6"
"march","12"
"match","99"
"minutes","9"
"monday","12"
"months","10"
"mouse","16"
"mouth","26"
"nineteen","8"
"nombres","12"
"nose","22"
"november","12"
"numbers","13"
"numero","1"
"numeros","1"
"objects","11"
"october","13"
"orange","29"
"order","68"
"pair","7"
"pairs","23"
"pan","6"
"parts","22"
"pen","13"
"pencil","18"
"pets","6"
"pig","14"
"pink","24"
"pronoun","3"
"puzzle","50"
"quarter","9"
"rabbit","17"
"red","45"
"relacionar","10"
"room","13"
"rooster","2"
"rubber","11"
"ruler","12"
"saturday","13"
"school","27"
"season","2"
"seasons","5"
"september","6"
"seventeen","9"
"sharpener","7"
"sheep","13"
"shelf","3"
"shirt","13"
"shoes","12"
"shorts","3"
"sixteen","11"
"skirt","7"
"skirtt","1"
"socks","9"
"socksa","1"
"sopa","13"
"sound","12"
"spring","10"
"strousers","1"
"summer","18"
"sunday","13"
"table","31"
"ten","25"
"thirteen","12"
"three","39"
"thursday","10"
"tie","4"
"tiger","10"
"time","36"
"trainers","5"
"trousers","11"
"tshirt","2"
"tuesday","9"
"twelve","22"
"twenty","15"
"verb","19"
"vv","1"
"wednesday","9"
"week","10"
"well","87"
"white","39"
"wild","7"
"winter","21"
"write","93"
"wrong","10"
"yellow","39"
"actions","4"
"amy","2"
"animals","24"
"answers","10"
"ball","10"
"basketball","13"
"bear","11"
"begoña","1"
"best","24"
"bike","14"
"braekfast","1"
"bread","13"
"breakfas","1"
"breakfast","13"
"brush","5"
"bush","2"
"can’t","1"
"catch","5"
"ceip","2"
"champion","12"
"choose","52"
"clean","11"
"climb","8"
"cold","25"
"congratulations","27"
"cook","13"
"cycle","3"
"dance","14"
"day","33"
"dreseed","1"
"dress","15"
"dressed","5"
"early","10"
"eat","33"
"eigth","1"
"eitgh","1"
"england","16"
"english","40"
"evening","12"
"excellent","48"
"exercise","7"
"expressions","5"
"face","9"
"feel","8"
"feet","7"
"fly","24"
"football","21"
"frosty","1"
"fruits","7"
"getdressed","3"
"getup","3"
"good","94"
"great","60"
"habits","3"
"hands","9"
"healthy","8"
"hurry","1"
"incredible","4"
"job","23"
"juggle","1"
"jump","14"
"kangaroo","5"
"legs","20"
"mane","4"
"meats","1"
"mi","5"
"mistakes","7"
"morning","14"
"mulberry","1"
"mum","7"
"night","17"
"number","14"
"ny","2"
"parrot","10"
"penguin","6"
"pictures","47"
"place","18"
"play","33"
"polar","6"
"primary","4"
"read","65"
"ride","8"
"rollerblade","2"
"rolllerblade","1"
"ruiz","3"
"running","8"
"sainz","1"
"schol","1"
"scool","1"
"seal","6"
"sentences","27"
"shower","7"
"skate","2"
"skateboard","6"
"ski","10"
"skip","2"
"sleep","18"
"slide","3"
"song","8"
"sounds","9"
"sport","9"
"sports","10"
"stay","9"
"story","11"
"strong","11"
"swim","18"
"swimming","12"
"talk","9"
"teeh","1"
"teet","1"
"teeth","17"
"tennis","15"
"times","11"
"toilet","11"
"topic","6"
"train","12"
"trees","13"
"varanda","1"
"vegetables","10"
"wake","3"
"wakeup","2"
"walk","25"
"wash","8"
"wast","1"
"water","31"
"word","40"
"zaragoza","2"
"ap","2"
"apple","14"
"apples","7"
"aren´t","4"
"ate","8"
"biscuit","5"
"bottle","7"
"bse","1"
"butter","5"
"buying","2"
"cake","12"
"cereals","2"
"cheese","12"
"chicken","13"
"chop","2"
"clams","1"
"coffe","2"
"coffee","13"
"countable","3"
"cucumber","3"
"damp","1"
"dinner","15"
"dmfacl","1"
"doughnut","2"
"drink","16"
"eggs","15"
