"WORD","HITS"
"animales","172"
"anterior","109"
"anteriores","45"
"atento","15"
"azules","28"
"calcular","32"
"completa","329"
"completar","83"
"comprobar","56"
"conjunto","110"
"conjuntos","10"
"conseguiste","33"
"cuantos","19"
"dejar","43"
"dibujos","96"
"dice","99"
"elementos","117"
"elige","246"
"encomtrar","2"
"equivocar","4"
"escribe","388"
"espacios","47"
"estar","102"
"está","358"
"evaluación","201"
"expresiones","28"
"expresión","51"
"faltan","119"
"grupo","137"
"hacerlo","51"
"imagen","193"
"luego","135"
"mayor","214"
"menor","142"
"numeros","12"
"número","206"
"números","117"
"ordena","402"
"pasa","173"
"permite","61"
"pincha","91"
"pinchando","10"
"posterior","27"
"preguntaré","3"
"puedes","148"
"puzzle","198"
"quieres","104"
"recordarla","3"
"repite","38"
"seguido","18"
"siguiente","200"
"suma","80"
"tendrás","45"
"terminar","65"
"tienes","157"
"total","61"
"une","254"
"verás","81"
"viste","10"
"él","188"
"actitud","18"
"administrar","7"
"afirmación","22"
"agosto","43"
"allí","86"
"alma","25"
"ambospodemos","1"
"arma","49"
"armonizar","2"
"aspectos","21"
"autor","67"
"autora","15"
"autoria","1"
"ayuda","116"
"bajadas","1"
"basado","24"
"bc","3"
"benefician","2"
"biografia","7"
"busca","358"
"cambios","33"
"caso","85"
"cinco","188"
"colombia","5"
"combs","1"
"comenzar","74"
"comprender","19"
"comprendido","17"
"comunicar","5"
"comunicarn","1"
"comunicarse","7"
"conocer","104"
"consegir","1"
"construir","55"
"consulta","27"
"copia","23"
"corazon","9"
"corazonpser","1"
"corazón","68"
"correcta","160"
"correspondiente","149"
"covey","1"
"creativos","1"
"cuaderno","45"
"cuatro","199"
"cuerpo","136"
"debe","91"
"deberian","1"
"demás","67"
"depende","30"
"despues","21"
"después","227"
"dialogar","4"
"dibuja","16"
"dimensiones","20"
"divertirte","2"
"docente","7"
"doscreaciones","1"
"dti","1"
"edilia","1"
"educativa","9"
"educativos","7"
"einiciativa","1"
"elbasnopser","1"
"eleccion","1"
"elementary","1"
"empezar","97"
"empieza","67"
"encontrarás","34"
"ene","8"
"entender","23"
"entenderserentendido","1"
"entendido","12"
"entendio","1"
"equilibrio","21"
"equipo","62"
"escuchar","37"
"escucho","6"
"escuelas","16"
"este","401"
"estos","261"
"estudiantes","7"
"estudiar","68"
"falsa","9"
"felices","24"
"felicidad","19"
"feliz","48"
"felíz","2"
"finalidad","15"
"finenlamente","1"
"finenlamenteo","1"
"fines","15"
"fisicamente","1"
