WORD,HITS
eta,169
oso,161
da,148
ondo,142
egin,137
bat,130
primeran,111
duzu,110
dira,108
hau,106
idatzi,106
ez,104
ongi,103
du,95
zein,93
bere,88
lotu,86
bilatu,85
hauek,85
ederki,84
zer,83
elkartu,82
bi,80
egiten,78
klik,77
zara,75
ordenatu,73
izena,71
izenak,71
osatu,69
behar,66
ditu,66
rectangle,65
den,64
dute,64
zorionak,63
dago,62
irakurri,61
nahi,61
ezazu,60
gainean,60
itzazu,60
dituzu,59
zenbat,59
diren,58
aukeratu,57
beste,57
baino,56
daude,56
izan,56
erlazionatu,55
ezin,55
bakoitza,54
edo,54
hiru,54
hobeto,54
aurrera,53
zoragarria,53
ere,52
bai,51
nola,51
dagokion,50
bikoteak,49
etorri,49
gero,49
lau,49
sakatu,49
zen,49
baina,48
baten,48
orain,48
hitz,47
hori,47
aukera,46
duen,46
handia,45
hauen,45
asko,44
ikasi,44
aurkitu,43
duten,43
egiteko,43
ondoren,43
horrela,42
bizi,41
dugu,41
falta,41
batzuk,40
dituzte,40
lortu,39
batean,38
berdinak,38
dut,38
ala,37
ari,37
bost,37
gehiago,37
ikusi,37
zuen,37
animalia,36
ditugu,36
erabiltzen,36
hartu,36
naiz,36
hitzak,35
lehen,35
zenbakiak,35
jarri,34
sei,34
ziren,34
honen,33
irudi,33
puzzlea,33
badakizu,32
entzun,32
irudiak,32
lehenengo,32
nire,32
zenbakia,32
bakoitzaren,31
batek,31
ematen,31
gara,31
hasi,31
zenbaki,31
zure,31
balio,30
direnak,30
ea,30
eman,30
gabe,30
gorria,30
arretaz,29
artean,29
asmatu,29
bukatu,29
dena,29
egun,29
gure,29
guztiak,29
izango,29
txikia,29
zortzi,29
bakarrik,28
bakoitzak,28
bateko,28
bikain,28
duzun,28
egingo,28
joan,28
ona,28
zaila,28
bete,27
dauden,27
ezta,27
hamar,27
honetan,27
jaten,27
mota,27
zati,27
zazpi,27
bila,26
burua,26
dagoen,26
irudia,26
kolore,26
onena,26
urdina,26
zuzena,26
arte,25
berdea,25
esan,25
ia,25
ur,25
zaldia,25
animaliak,24
baduzu,24
batetik,24
benetan,24
beti,24
bigarren,24
dakizu,24
erantzun,24
erraza,24
esaldi,24
hartzen,24
horia,24
itzel,24
katua,24
kokatu,24
segi,24
tresna,24
alde,23
ama,23
arabera,23
azken,23
bakoitzari,23
berriro,23
duena,23
erdi,23
gaur,23
gauza,23
gogoratu,23
gorputz,23
hemen,23
ikusten,23
izateko,23
jarraitu,23
leku,23
ra,23
txakurra,23
zu,23
ateratzen,22
aurreko,22
ba,22
batez,22
behia,22
hasten,22
honek,22
izenarekin,22
jan,22
ko,22
