"WORD","HITS"
"alba","1"
"beurre","4"
"biscuits","1"
"boronat","1"
"bravo","7"
"castellarnau","1"
"cat","2"
"ce","20"
"ceip","1"
"chocolat","3"
"cuit","1"
"dis","4"
"douze","7"
"du","20"
"duvdbeurrevmbn","1"
"ecastel","1"
"escola","2"
"est","27"
"eulalia","1"
"excellent","4"
"excel·lent","1"
"faut","8"
"fghljiolfoxmxa","1"
"formidable","7"
"fromage","4"
"gthfdsacertegh","1"
"génial","5"
"huile","3"
"hvghjmokjhreaf","1"
"il","20"
"jambon","2"
"jus","3"
"jusdorange","1"
"jusdorangenxfj","1"
"kiwi","2"
"lait","5"
"lis","11"
"madeleines","1"
"mange","2"
"marmelade","1"
"mots","13"
"nhiyjmdsaxbfcp","1"
"orange","6"
"pain","5"
"paire","3"
"pomme","4"
"pommehmsyjkmlr","1"
"répète","6"
"sa","12"
"sdeacfbifbhrgn","1"
"sdfvbrftrgldri","1"
"sel","2"
"sont","21"
"sucre","6"
"table","3"
"tomate","3"
"tomates","2"
"tomatewsasdeft","1"
"trouve","14"
"trouver","4"
"tyujhudusdslcl","1"
"une","25"
"vérifie","2"
"wdfrtchijyeaga","1"
"xcffeefbnhjayi","1"
"yaourt","3"
"écoute","12"
"afegits","1"
"agrupa","1"
"agrupen","1"
"aigua","1"
"ail","2"
"ajuda","1"
"aliment","2"
"alimentaris","1"
"aliments","3"
"amande","1"
"amandes","1"
"ananás","1"
"animales","1"
"aquestes","3"
"assemblen","1"
"assimilable","1"
"banana","1"
"batata","1"
"batatapfl","1"
"begudes","1"
"berinjela","1"
"blat","1"
"blau","2"
"blé","2"
"boissons","2"
"bon","9"
"bonbons","2"
"botó","1"
"brócolis","1"
"busca","1"
"cal","1"
"calci","1"
"calcium","1"
"carboni","1"
"carn","2"
"carns","1"
"cas","4"
"caselles","1"
"català","3"
"cebola","1"
"cenoura","1"
"cereals","1"
"cereja","1"
"cervell","1"
"champignon","1"
"champignons","2"
"chiches","1"
"civada","1"
"color","4"
"comme","9"
"complexes","1"
"confitures","1"
"contenen","1"
"corporals","1"
"corresponent","3"
"corresponents","2"
"cos","2"
"courge","1"
"creixement","1"
"creus","1"
"crevette","1"
"crème","2"
"defenses","1"
"descobreix","2"
"desenvolupament","1"
"diccionari","1"
"d’energia","1"
"d’estructures","1"
"d’énergie","2"
"ea","2"
"eau","8"
"ednaiv","1"
"ee","1"
"encreuat","1"
"ensucrats","1"
"escriu","2"
"esquerra","1"
"essentiels","2"
"estiguin","1"
"etiel","1"
"facilement","2"
"feijao","1"
"feijão","1"
"fent","2"
"ferro","1"
"fibres","1"
"font","5"
"formació","1"
"forts","1"
"francès","3"
"frango","1"
"fraîche","2"
"fruites","1"
"funcionament","1"
"fècules","1"
"fèves","1"
"glucides","2"
"graisses","3"
"gras","2"
"greixos","1"
"grup","2"
"gufrango","1"
"gâteau","2"
"hidrats","1"
"hortalisses","1"
"huiles","1"
"hydrosolubles","1"
"icona","1"
"imatge","4"
"imatges","4"
"informació","2"
"lactics","1"
"laitue","1"
"laranja","1"
"leite","1"
"lentilles","1"
"lipides","2"
"liposolubles","1"
"llegums","1"
"lletra","1"
"lletres","1"
"llista","1"
"l’amidon","1"
"l’arròs","1"
"l’ordi","1"
"ma","9"
"mantega","1"
"mar","3"
"margarine","1"
"maça","1"
"maçar","1"
"maçã","1"
"maïs","1"
"miel","1"
"mineral","1"
"minerals","1"
"minéraux","1"
"moltes","1"
"moro","1"
"multilingüe","1"
"músculs","1"
"necessàries","2"
"nom","10"
"noms","10"
"nostre","1"
"nostres","2"
"nous","14"
"nutrients","1"
"oli","1"
"oligoéléments","1"
"oliva","1"
"olives","1"
"ossos","1"
"ous","2"
"ovos","1"
"pa","2"
"paraules","1"
"parelles","1"
"pastes","1"
"patates","1"
"peix","1"
"pel","2"
"pell","2"
"phosphore","1"
"poire","3"
"pois","1"
"poisson","6"
"poivron","1"
"poivrongj","1"
"pommes","4"
"portuguès","3"
"pot","4"
"predominants","1"
"productes","1"
"propietats","1"
"protegir","1"
"proteïnes","1"
"protéines","2"
"pâtes","1"
"relaciona","5"
"representa","1"
"riz","1"
"saindoux","1"
"salade","3"
"sans","6"
"següent","3"
"següents","1"
"sels","2"
"semoule","1"
"servir","1"
"simples","1"
"sopa","2"
"source","1"
"sucres","1"
"sucrées","1"
"sègol","1"
"taronja","1"
"terre","5"
"tots","3"
"tr","1"
"troba","1"
"trobaràs","1"
"vegada","1"
"verd","1"
"verdures","1"
"viande","5"
"viandes","1"
"vigila","1"
"vitamines","3"
"âr","1"
"óleo","1"
"œufs","1"
"atributs","1"
"bleu","6"
"camins","1"
"carré","2"
"colors","2"
"couleurs","3"
"diferents","2"
"escollir","1"
"figures","3"
"forma","4"
"forme","4"
"formes","3"
"geomètriques","2"
"gran","1"
"grand","11"
"groc","1"
"jaune","3"
"mida","2"
"mides","1"
"petit","12"
"quadrat","1"
"rectangle","13"
"rodona","1"
"rouge","9"
"tailles","1"
"triangle","2"
"vermell","1"
"vermella","1"
"","1"
"choisis","11"
"excelente","1"
"fasse","1"
"façon","4"
"lado","1"
"nombres","8"
"números","4"
"parfait","13"
"place","7"
"somme","2"
"sumar","1"
"tres","4"
"acordéon","1"
"activité","6"
"animaux","6"
"apprenons","1"
"artiste","2"
"artistes","1"
"associe","4"
"au","18"
"chanson","2"
"cheval","4"
"cirque","1"
"clique","8"
"clown","1"
"convient","2"
"dommage","1"
"dompteur","1"
"ecoute","1"
"elephant","1"
"encore","4"
"equilibriste","1"
"essaie","2"
"flute","1"
"français","13"
"grâce","1"
"guitare","1"
"image","6"
"images","4"
"instruments","2"
"jongleur","1"
"le","28"
"lion","2"
"magicien","1"
"mot","7"
"pairs","1"
"phoque","1"
"piste","2"
"pour","19"
"puzzle","8"
"reconstitue","1"
"retrouver","1"
"revoir","4"
"saxophone","1"
"singe","1"
"soucoupe","1"
"sur","18"
"tambour","1"
"tambourin","1"
"terminé","2"
"tigre","1"
"trapeziste","1"
"trompette","1"
"très","27"
"tu","23"
"veux","4"
"violon","1"
"voilà","3"
"bienvenue","3"
"gats","1"
"identificació","1"
"identificacióde","1"
"lateralitat","1"
"paquet","5"
"pingüins","1"
"quel","7"
"voulez","4"
"vous","13"
"case","2"
"chaque","14"
"correspond","4"
"exact","1"
"montre","2"
"nombre","11"
"chiffre","2"
"continuez","2"
"dessous","1"
"donc","3"
"eratòstenes","1"
"garbell","1"
"hormis","1"
"multiples","1"
"múltiples","1"
"portada","2"
"premiers","1"
"primers","1"
"retrouvez","2"
"taula","2"
"tous","5"
"trobar","1"
"trouvez","3"
"voici","4"
"division","2"
"divisions","1"
"effectue","1"
"singlecells","1"
"super","4"
"abandonaremos","1"
"abuela","1"
"acabar","1"
"accorder","1"
"affaire","1"
"ai","6"
"aient","1"
"ais","1"
"ait","1"
"aller","6"
"allez","4"
"allons","3"
"après","9"
"arriv","1"
"arriver","2"
"arrivées","1"
"aujourd","2"
"aur","1"
"autres","6"
"auxilier","1"
"avec","23"
"avez","8"
"avoir","13"
"avons","7"
"ayer","1"
"buscar","1"
"cacher","1"
"caer","1"
"cantado","1"
"cantábamos","1"
"catherine","1"
"chambre","2"
"chant","1"
"chanté","1"
"chercher","2"
"clase","1"
"clicque","1"
"coche","1"
"coger","1"
"comenzar","2"
"compañero","1"
"composé","1"
"compuesto","1"
"conjuge","2"
"conjugé","1"
"contenido","1"
"copain","1"
"copine","1"
"correspondante","4"
"cosa","1"
"coup","1"
"cours","3"
"cuánto","1"
"dans","20"
"dar","1"
"decías","1"
"demain","2"
"dernier","2"
"dernière","4"
"después","2"
"deux","19"
"dit","2"
"dois","5"
"ella","2"
"elle","14"
"emploie","1"
"entendre","1"
"enu","1"
"esconder","1"
"espagnol","6"
"estar","2"
"estudia","1"
"eu","1"
"example","1"
"exception","1"
"expliquer","1"
"expliqué","1"
"ez","4"
"faire","11"
"fais","11"
"faisais","1"
"fait","13"
"fini","6"
"finir","1"
"formé","1"
"futur","2"
"futuro","1"
"genre","3"
"groupe","3"
"groupes","4"
"habitación","1"
"habitualmente","1"
"habitude","2"
"hablar","1"
"haute","1"
"hemos","1"
"hermana","1"
"heure","7"
"hier","3"
"hora","1"
"hoy","1"
"huecos","2"
"hui","3"
"iez","1"
"ils","13"
"imparfait","1"
"imperfecto","1"
"infinitif","2"
"instituto","1"
"ions","1"
"irrégulières","1"
"je","13"
"jeu","2"
"juego","1"
"j’","1"
"lavado","1"
"lavarse","1"
"laver","1"
"lavée","1"
"leur","8"
"limpieza","1"
"limpio","1"
"lisant","1"
"llegar","1"
"lycée","3"
"madre","1"
"maintenant","4"
"manger","7"
"mangé","2"
"mañana","1"
"meilleur","3"
"mejor","1"
"menudo","1"
"met","2"
"mettre","3"
"mi","1"
"midi","4"
"moi","10"
"mère","5"
"mémorise","1"
"ménage","1"
"ne","15"
"noche","1"
"nouveau","3"
"nouvelle","3"
"nuevo","2"
"négative","1"
"négatives","1"
"ons","4"
"ont","9"
"orden","2"
"ordenar","2"
"ordre","9"
"ou","15"
"oublie","2"
"oír","1"
"par","10"
"parfaitement","2"
"parler","2"
"participe","1"
"particules","1"
"pas","14"
"pasar","1"
"pasmar","1"
"passer","3"
"passé","3"
"perfecto","1"
"personne","5"
"personnes","3"
"pica","1"
"pluriel","3"
"point","4"
"poner","1"
"pourr","1"
"pourras","1"
"pouvoir","4"
"premier","5"
"première","2"
"prend","2"
"prendre","3"
"pretérito","1"
"prochain","1"
"proche","1"
"pronominaux","2"
"proponer","1"
"proposer","1"
"propre","4"
"présent","6"
"próximo","1"
"puis","4"
"punto","1"
"quedarse","1"
"querer","1"
"quitter","1"
"racine","1"
"racines","1"
"ranger","1"
"rangé","1"
"realidad","1"
"recuerdas","1"
"relie","13"
"rellena","1"
"rendre","1"
"rentrer","1"
"repente","1"
"rester","2"
"révision","1"
"salir","1"
"se","16"
"segura","1"
"seguro","1"
"simple","4"
"singulier","2"
"sitio","1"
"soeur","4"
"soir","4"
"sommes","3"
"sortir","3"
"souvent","4"
"souviens","3"
"suis","9"
"sujet","2"
"sûr","1"
"s’est","1"
"tarde","1"
"terminaison","1"
"texto","1"
"toi","12"
"tomber","2"
"toujours","4"
"tour","4"
"tout","7"
"toutes","4"
"traduction","1"
"traduit","1"
"traits","2"
"trés","1"
"tú","1"
"union","2"
"unique","1"
"utilise","4"
"varicela","1"
"varicelle","1"
"vas","4"
"venir","3"
"venu","1"
"venue","1"
"venues","1"
"venus","1"
"ver","2"
"verbale","2"
"verbe","5"
"verbes","4"
"viendr","1"
"visi","1"
"visita","1"
"visite","2"
"visiter","1"
"visité","1"
"vocabulaire","2"
"voiture","5"
"voix","2"
"volver","1"
"vont","9"
"vouloir","1"
"vousallez","1"
"vraiment","2"
"vuelta","1"
"ça","8"
"écouter","2"
"écrire","3"
"ées","1"
"él","1"
"épater","1"
"ét","1"
"été","4"
"êtes","4"
"être","9"
"último","1"
"appuie","1"
"aquarium","1"
"asociación","1"
"auras","1"
"blessés","1"
"bleue","4"
"bonne","11"
"bouteille","2"
"boîte","3"
"cassés","1"
"cette","9"
"check","1"
"cinq","11"
"classe","6"
"colores","2"
"colorée","2"
"consacre","1"
"consigne","1"
"contenue","1"
"corde","2"
"couleur","4"
"coupons","1"
"courante","1"
"decimales","1"
"denominador","1"
"descubrir","1"
"dessin","8"
"distinctes","1"
"divise","2"
"divisons","1"
"divisé","2"
"dix","10"
"douzaine","1"
"droite","5"
"décimales","2"
"dénominateur","1"
