"WORD","HITS"
"asocia","2"
"ben","3"
"borrador","2"
"carpeta","2"
"cliquea","2"
"coas","2"
"color","2"
"copia","2"
"debuxos","2"
"escribe","3"
"estoxo","2"
"frase","2"
"libreta","2"
"libro","3"
"mesa","4"
"moi","3"
"ordena","2"
"pincel","2"
"pintura","2"
"pizarra","2"
"puzzle","2"
"recorto","2"
"rosa","2"
"tesoiras","3"
"vermello","2"
"os","2"
"adiante","1"
"aos","1"
"azul","1"
"boca","1"
"carme","1"
"casa","1"
"cociña","2"
"compra","1"
"continuares","1"
"da","2"
"despois","1"
"dúchase","1"
"erguerse","1"
"escola","1"
"escolle","2"
"estou","1"
"estrea","1"
"está","2"
"flecha","1"
"froita","1"
"globo","1"
"historia","1"
"hora","1"
"houbo","1"
"imaxes","1"
"iria","1"
"lavando","1"
"leira","1"
"lume","1"
"madurez","1"
"mamá","2"
"menú","1"
"nenez","1"
"nova","1"
"ola","1"
"ordenar","1"
"pan","1"
"paquete","1"
"pedro","1"
"plantas","1"
"portada","1"
"pulsa","2"
"queixo","1"
"rega","1"
"rico","2"
"roupa","1"
"sae","1"
"secuencias","1"
"selección","1"
"semáforo","1"
"súa","1"
"traballa","1"
"tráfico","1"
"tíos","1"
"vas","1"
"verde","1"
"viña","1"
"xa","2"
"xaime","1"
"xan","1"
"xoga","1"
"xuventude","1"
"¿gostas","1"
"árbore","1"
"agarda","1"
"agora","1"
"albariño","1"
"alegres","1"
"amarela","1"
"anverso","1"
"aparato","1"
"así","1"
"atrase","1"
"avoa","1"
"aínda","1"
"bailar","1"
"baldeira","1"
"baldeiro","1"
"barateira","1"
"baratiña","1"
"baratiñas","1"
"baratiños","1"
"billa","1"
"billete","1"
"billetes","1"
"bo","1"
"boa","1"
"boas","1"
"bombeiro","1"
"bonecos","1"
"bravo","1"
"bravísimo","1"
"brocha","1"
"bárbaro","1"
"cafeteira","1"
"café","1"
"caldeiro","1"
"camión","1"
"campión","1"
"campá","1"
"canarias","1"
"cantas","1"
"cantidade","1"
"canto","1"
"cantos","1"
"cara","1"
"caramelo","1"
"caro","1"
"carpinteiro","1"
"casco","1"
"casiña","1"
"cereixas","1"
"certo","1"
"chanclas","1"
"chifre","1"
"chupado","1"
"chupadísimo","1"
"cogumelo","1"
"compramos","1"
"comprarei","1"
"compre","1"
"compro","1"
"contado","1"
"contas","1"
"conxuntamente","1"
"copiña","1"
"cores","1"
"correcta","1"
"correcto","1"
"costa","1"
"costan","1"
"costará","1"
"cravo","1"
"céntimo","1"
"céntimos","1"
"cómo","1"
"dado","1"
"damos","1"
"dar","1"
"darei","1"
"darías","1"
"das","1"
"diferentes","1"
"dime","1"
"doado","1"
"dun","1"
"empregarei","1"
"entrego","1"
"entón","1"
"escoitar","1"
"esparadrapo","1"
"estas","1"
"este","1"
"estrela","1"
"estupendo","1"
"euro","1"
"euros","1"
"fabuloso","1"
"facían","1"
"falta","1"
"fantástico","1"
"fará","1"
"feitas","1"
"feito","1"
"felicidades","1"
"fenomenal","1"
"fenómeno","1"
"flan","1"
"foi","1"
"folla","1"
"fotografar","1"
"fresquiña","1"
"frisona","1"
"fácil","1"
"gafas","1"
"gañas","1"
"gol","1"
"góstame","1"
"helicóptero","1"
"ideal","1"
"identificada","1"
"imos","1"
"incrible","1"
"inverno","1"
"irmanciña","1"
"irmá","1"
"iso","1"
"isto","1"
"italiana","1"
"lapis","1"
"laranxa","1"
"limón","1"
"lindo","1"
"lle","1"
"luva","1"
"luz","1"
"lámpada","1"
"magnífico","1"
"mais","1"
"mal","1"
"maleta","1"
"mar","1"
"marabilloso","1"
"marca","1"
"martelo","1"
"mellor","1"
"mercarei","1"
"min","1"
"miña","1"
"mmm","1"
"mmmm","1"
"moeda","1"
"moedas","1"
"monedas","1"
"máis","1"
"nada","1"
"nadal","1"
"nai","1"
"necesito","1"
"necesítao","1"
"nené","1"
"novamente","1"
"novos","1"
"opcións","1"
"ordenador","1"
"ou","1"
"outra","1"
"outros","1"
"pagamos","1"
"pagar","1"
"pagarei","1"
"pagaremos","1"
"pagarías","1"
"pago","1"
"pamela","1"
"pano","1"
"pantalla","1"
"papá","1"
"par","1"
"parabéns","1"
"paraugas","1"
"parece","1"
"parrulo","1"
"paréceme","1"
"pasa","1"
"pasta","1"
"pato","1"
"peite","1"
"perfecto","1"
"piano","1"
"plátano","1"
"podar","1"
"pode","1"
"poderás","1"
"pois","1"
"pola","1"
"pouco","1"
"quentiñas","1"
"quero","1"
"quiero","1"
"quilo","1"
"radio","1"
"realmente","1"
"rectangle","1"
"regadeira","1"
"regalareillo","1"
"relaciona","1"
"reloxo","1"
"reverso","1"
"rica","1"
"ricas","1"
"ring","1"
"sandía","1"
"se","1"
"secador","1"
"seguinte","1"
"segundos","1"
"sempre","1"
"sopeira","1"
"suma","1"
"sumado","1"
"super","1"
"superfácil","1"
"talán","1"
"tarí","1"
"tatarí","1"
"teléfono","1"
"temos","1"
"tenda","1"
"terei","1"
"teus","1"
"teño","1"
"ti","1"
"tirado","1"
"trapo","1"
"tres","1"
"triciclo","1"
"trompeta","1"
"trucado","1"
"tv","1"
"une","1"
"unha","1"
"unhas","1"
"usarei","1"
"usaremos","1"
"utilizarei","1"
"utilizo","1"
"uviñas","1"
"vaca","1"
"vale","1"
"variantes","1"
"ver","1"
"verdade","1"
"vez","1"
"viaxe","1"
"vieira","1"
"viño","1"
"voume","1"
"xardín","1"
"xeitos","1"
"xeitosiña","1"
"xelado","1"
"xenial","1"
"xoguete","1"
"xoguetes","1"
"¿canto","1"
"¿como","1"
"¿con","1"
"¿que","1"
"áncora","1"
