WORD,HITS
moi,89
ben,84
os,78
da,70
unha,66
fai,57
coa,55
máis,48
nome,48
súa,48
ou,44
das,41
crebacabezas,40
rectangle,40
hai,38
cando,37
palabras,34
ten,34
quen,33
teñen,33
facer,32
nas,32
onde,32
tres,32
ao,31
dun,31
polo,30
elixe,29
número,29
xa,29
agora,28
segundo,28
sinala,28
forma,27
tamén,27
lle,26
pola,26
atopa,25
debuxo,25
dous,25
dunha,25
ver,25
xenial,25
catro,24
estes,24
fantástico,24
nunha,24
auga,23
esquerda,23
nomes,23
perfecto,23
sen,23
tempo,23
coas,22
dereita,22
dúas,22
frecha,22
mesmo,22
parellas,22
podes,22
asocia,21
ata,21
casa,21
cos,21
estupendo,21
feito,21
fenomenal,21
logo,21
primeiro,21
traballo,21
ás,20
cal,20
corpo,20
despois,20
grande,20
seguinte,20
só,20
tes,20
faltan,19
foi,19
letras,19
números,19
palabra,19
pouco,19
resposta,19
súas,19
ter,19
deste,18
emparella,18
leva,18
moito,18
nun,18
outros,18
pasa,18
pode,18
queres,18
actividade,17
aínda,17
azul,17
canto,17
cantos,17
eu,17
información,17
isto,17
miña,17
primeira,17
vai,17
ano,16
cinco,16
cousas,16
fíxate,16
grupo,16
mar,16
menos,16
moitos,16
outra,16
pequeno,16
resolve,16
sempre,16
sol,16
terra,16
bravo,15
cara,15
correspondente,15
cun,15
día,15
iso,15
lugar,15
maior,15
mellor,15
nai,15
pequena,15
preme,15
sete,15
sopa,15
tódolos,15
avaliación,14
bo,14
cales,14
cor,14
cunha,14
debuxos,14
dez,14
estás,14
familia,14
iguais,14
imos,14
libro,14
medio,14
ós,14
outro,14
pezas,14
seis,14
toda,14
che,13
difícil,13
empezar,13
escribir,13
exemplo,13
igual,13
libros,13
longo,13
moita,13
mundo,13
nosa,13
noso,13
oito,13
persoa,13
remates,13
segunda,13
tanto,13
vida,13
animais,12
animal,12
cantas,12
clase,12
coruña,12
desta,12
destas,12
elementos,12
escolle,12
frases,12
grandes,12
identifica,12
letra,12
mal,12
nenos,12
noraboa,12
ourense,12
partes,12
polas,12
polos,12
pon,12
punto,12
revés,12
sexa,12
ti,12
tódalas,12
veces,12
verás,12
aparecen,11
atención,11
atopar,11
barco,11
boa,11
branco,11
claro,11
conseguíchelo,11
continúa,11
dar,11
debaixo,11
escoita,11
escola,11
final,11
frase,11
galego,11
galicia,11
imaxe,11
lembra,11
man,11
moitas,11
nesta,11
neste,11
nove,11
oración,11
pai,11
pantalla,11
pontevedra,11
porta,11
rato,11
relacionar,11
saír,11
seguintes,11
teña,11
vale,11
verde,11
volta,11
adiante,10
algunhas,10
anos,10
aos,10
aprende,10
árbore,10
buscar,10
cabeza,10
caixa,10
cantidade,10
case,10
chama,10
coche,10
comida,10
conta,10
conxunto,10
durante,10
encrucillado,10
enriba,10
falso,10
fenómeno,10
fixéchelo,10
forte,10
frío,10
gusta,10
hora,10
inverno,10
lúa,10
madeira,10
media,10
neno,10
novo,10
observa,10
pan,10
pregunta,10
segue,10
sexan,10
tan,10
teño,10
tipo,10
traballar,10
triángulo,10
unidade,10
verdadeiro,10
vermello,10
aire,9
algo,9
algúns,9
alto,9
arredor,9
axeitado,9
baixo,9
boca,9
branca,9
cadro,9
carballo,9
central,9
chámase,9
clasifica,9
comer,9
común,9
cores,9
corresponda,9
corresponde,9
cousa,9
dicir,9
enche,9
espacio,9
exacto,9
facendo,9
falta,9
formar,9
historia,9
horas,9
imaxes,9
indica,9
levan,9
lugo,9
lume,9
mesma,9
nada,9
negra,9
nin,9
nivel,9
nunca,9
ocos,9
ordenar,9
papel,9
parágrafos,9
pica,9
pois,9
provincia,9
resultado,9
río,9
sae,9
será,9
suma,9
tema,9
teñan,9
tipos,9
unhas,9
viño,9
volve,9
xeito,9
xenio,9
amigos,8
cama,8
caso,8
cen,8
cidade,8
coloca,8
coma,8
correctamente,8
dan,8
destes,8
días,8
doado,8
ela,8
estar,8
falar,8
flores,8
formado,8
forman,8
hoxe,8
importantes,8
instrumentos,8
interior,8
lado,8
ler,8
luz,8
mapa,8
marca,8
metal,8
metros,8
mira,8
nena,8
ningún,8
nombre,8
obra,8
obxectos,8
opción,8
orde,8
ovella,8
