"WORD","HITS"
"abbiamo","2"
"abcdefghijk","1"
"ac","2"
"acabar","1"
"acabat","1"
"acabats","1"
"accelerare","1"
"accoppiare","1"
"acompanyen","1"
"acqua","1"
"adjectiu","1"
"adjectius","1"
"adjuntarà","1"
"admeten","1"
"administració","1"
"afirmatiu","1"
"africa","1"
"ag","1"
"agenda","1"
"aggiunto","1"
"agli","1"
"ahir","1"
"ai","2"
"aiuto","1"
"això","1"
"alaska","1"
"alcune","1"
"alfa","1"
"align","1"
"allineati","2"
"allo","2"
"altra","4"
"altres","1"
"altri","1"
"altro","1"
"ambi","1"
"america","1"
"ammette","1"
"amministrazione","1"
"anche","4"
"andato","1"
"anguria","1"
"animali","1"
"animate","1"
"animato","1"
"animazione","1"
"animazioni","1"
"antic","1"
"antiguitat","1"
"apa","1"
"api","1"
"applicare","1"
"aquest","1"
"aquestes","1"
"ar","1"
"ara","1"
"arancia","1"
"arancione","1"
"arbres","1"
"argentina","1"
"argentinal","1"
"arith","1"
"arriscar","1"
"ascendente","1"
"ascoltare","1"
"asia","1"
"aspetto","1"
"assegnate","1"
"assegnazione","1"
"associata","1"
"associati","1"
"associative","1"
"associazione","1"
"associazioni","1"
"assolei","1"
"astronauta","1"
"atmosf","1"
"attività","5"
"aturar","1"
"au","1"
"australia","1"
"auto","2"
"automobile","1"
"autori","1"
"av","1"
"avanzamento","1"
"avenir","1"
"avere","3"
"avevo","1"
"avi","1"
"avui","1"
"azzurro","1"
"ba","2"
"bach","1"
"badia","1"
"bah","1"
"balcells","1"
"baldufes","1"
"ball","1"
"balleranno","1"
"barcelona","2"
"beethoven","1"
"bello","3"
"bene","8"
"beneit","1"
"beneiteria","1"
"benissimo","3"
"bergua","1"
"bevete","1"
"beveu","1"
"bevvi","1"
"bgcolor","1"
"bi","1"
"bici","1"
"bicicletta","3"
"bicycle","1"
"bisogna","1"
"bk","1"
"ble","1"
"bolivia","1"
"boliviac","1"
"bona","1"
"border","1"
"br","1"
"brahms","1"
"branco","1"
"brasile","1"
"bravissima","1"
"bravissime","1"
"bravissimi","1"
"bravissimo","3"
"bravo","2"
"brugarolas","1"
"bruscamente","1"
"buco","1"
"bézier","1"
"calaix","1"
"calaixos","1"
"calavera","1"
"calcolo","2"
"calcular","1"
"calders","1"
"california","1"
"calmar","1"
"cames","1"
"caminaven","1"
"camion","1"
"camminavano","1"
"campanya","1"
"canada","1"
"canale","1"
"cancella","1"
"canterà","1"
"canvi","1"
"cap","1"
"capses","1"
"car","1"
"caracteristiques","1"
"caraibi","1"
"caratteristiche","2"
"caratterístiche","1"
"caricano","1"
"casa","2"
"casella","2"
"caselle","2"
"caso","2"
"castellnou","1"
"casuale","1"
"casualmente","1"
"catala","1"
"catalana","1"
"catalogna","1"
"catalunya","1"
"categoria","1"
"causato","1"
"cavall","1"
"cavalli","1"
"cd","1"
"ce","2"
"cec","1"
"cecs","1"
"cega","1"
"cegues","1"
"center","1"
"centro","2"
"cerchi","2"
"cf","1"
"che","5"
"chi","2"
"chiama","1"
"chiamano","1"
"chiamarlo","1"
"chiamata","1"
"chiamate","1"
"chiamato","1"
"chiederò","1"
"ci","2"
"ciao","2"
"ciascuna","3"
"ciclismo","1"
"científic","1"
"cile","1"
"ciliegie","1"
"cina","1"
"cinc","1"
"citate","1"
"ciutadans","1"
"ció","1"
"cl","1"
"classicjigsaw","1"
"clicca","5"
"cm","1"
"codice","1"
"codificare","1"
"collegare","1"
"collegata","1"
"collegati","1"
"collocare","1"
"collocati","1"
"colombia","1"
"color","1"
"colore","4"
"colori","1"
"comi","1"
"cominciare","2"
"commissione","1"
"compariranno","1"
"compartien","1"
"completa","5"
"completamento","1"
"completare","1"
"comportamento","1"
"compositori","1"
"compost","1"
"comprese","1"
"compromisos","1"
"compt","1"
"compte","1"
"comú","1"
"coneixement","1"
"congestione","1"
"conoscenza","1"
"consistono","1"
"consonant","1"
"construccions","1"
"construir","1"
"consulta","1"
"contatori","1"
"contenere","2"
"contenuti","1"
"continuiamo","1"
"contra","1"
"contrari","1"
"convex","1"
"convexos","2"
"correggere","1"
"correggi","1"
"corregir","1"
"cosa","2"
"costruire","1"
"cr","1"
"creando","1"
"creato","1"
"crociate","1"
"cromatica","1"
"crucipuzzle","1"
"cs","1"
"ct","1"
"cu","1"
"cui","2"
"curs","1"
"cursos","1"
"curve","2"
"da","6"
"dal","3"
"dalle","1"
"data","1"
"ddi","1"
"defensà","1"
"definire","1"
"definizione","2"
"definizioni","1"
"degli","2"
"dei","3"
"deixat","1"
"dell","3"
"della","5"
"delle","3"
"denti","1"
"depenen","1"
"depeneu","1"
"derivati","1"
"desaparèixer","1"
"descalces","1"
"descalç","1"
"descalça","1"
"descalços","1"
"descrive","1"
"descrizione","2"
"destra","5"
"determinati","1"
"determinato","1"
"deve","4"
"devi","1"
"devono","4"
"di","7"
"dia","1"
"didàctic","1"
"differente","1"
"differenti","1"
"difficili","1"
"difunt","1"
"difícil","1"
"digué","1"
"dimarts","1"
"dimensioni","1"
"dimostrative","1"
"dinamicamente","1"
"dir","1"
"diretta","1"
"direu","1"
"direzione","1"
"disegnata","1"
"disporle","1"
"disse","1"
"distinguere","1"
"distribuzione","1"
"dit","1"
"div","1"
"diversi","1"
"divisa","1"
"doble","1"
"documento","1"
"dodici","1"
"dolç","1"
"dolços","1"
"domani","1"
"dona","1"
"donat","1"
"dono","1"
"doppio","1"
"dov","1"
"dove","2"
"dues","1"
"duplicar","1"
"dur","1"
"dura","1"
"dures","1"
"durs","1"
"dy","1"
"ea","1"
"eccesso","1"
"eccezioni","1"
"ecuador","1"
"eesempio","1"
"ela","1"
"elaborazione","1"
"elementi","2"
"ell","1"
"ellipse","2"
"ellissi","1"
"em","1"
"empenyent","1"
"empord","1"
"encenalls","1"
"encendre","1"
"endreça","1"
"enmig","1"
"enredar","1"
"entusiasme","1"
"equip","1"
"er","1"
"erano","1"
"errate","1"
"errori","1"
"esaurito","1"
"escola","1"
"esempi","1"
"esempio","1"
"esercizi","1"
"esercizio","1"
"esgarrapades","1"
"esperava","1"
"esplorazione","1"
"essere","3"
"estabilitzar","1"
"esterno","2"
"estil","1"
"etiquetarà","1"
"eu","1"
"europa","1"
"eventi","1"
"exemplars","1"
"exemple","1"
"exercici","1"
"facendo","1"
"facil","1"
"facile","2"
"fatta","2"
"fatto","1"
"fe","1"
"feinada","1"
"femení","1"
"femminile","1"
"ferro","1"
"file","1"
"filmati","1"
"finale","1"
"finestre","1"
"finito","1"
"fins","1"
"flash","1"
"flat","1"
"flor","1"
"fm","1"
"foc","1"
"fondo","1"
"font","1"
"fonti","1"
"fora","1"
"forma","2"
"formació","1"
"forme","1"
"formen","1"
"forzare","1"
"fr","2"
"frammenti","1"
"frasi","1"
"freccia","4"
"fresc","1"
"frescos","1"
"frescs","1"
"fund","1"
"furgone","1"
"futuro","1"
"ga","1"
"galícia","1"
"garatge","1"
"gas","1"
"gd","1"
"ge","1"
"gener","1"
"general","1"
"generano","1"
"generatore","1"
"generatori","1"
"gennaio","2"
"genuí","1"
"genuïna","1"
"genuïnes","1"
"genuïns","1"
"giappone","1"
"gif","1"
"gifs","1"
"gioco","3"
"giornale","1"
"gli","4"
"gol","1"
"good","1"
"gradienti","1"
"grafica","1"
"grafiche","1"
"grafici","1"
"grafico","1"
"gran","1"
"grans","1"
"gras","1"
"grassa","1"
"grasses","1"
"grassos","1"
"gregge","1"
"grifoll","1"
"griglia","1"
"gris","1"
"grisa","1"
"grises","1"
"grisos","1"
"groarr","1"
"groc","1"
"grocs","1"
"groenlandia","1"
"groga","1"
"grogues","1"
"guardai","1"
"guardate","1"
"guiana","1"
"guianafrancese","1"
"guianafranceseei","1"
"gènere","1"
"hai","3"
"handsign","1"
"hanno","3"
"havia","1"
"help","1"
"hem","1"
"herrero","1"
"hf","1"
"hg","1"
"holes","1"
"hora","1"
"html","1"
"identificare","1"
"identificazione","1"
"ieri","1"
"ig","1"
"ii","1"
"il","7"
"img","1"
"immagine","3"
"immagini","2"
"immediatamente","1"
"imprese","1"
"inajornables","1"
"incidente","1"
"includere","1"
"incrementar","1"
"incrociano","2"
"indica","3"
"indicare","2"
"individua","2"
"individuare","1"
"individuazione","1"
"indonesia","1"
"inflessione","1"
"informative","1"
"informazione","1"
"informazioni","2"
"inglese","1"
"iniciativa","1"
"inserimento","1"
"insieme","3"
"insiemi","1"
"installarli","1"
"interfacce","1"
"interfaccia","1"
"interi","1"
"internet","1"
"interscambio","1"
"ires","1"
"irregular","1"
"ix","1"
"jardins","1"
"jaume","2"
"jigsaw","1"
"jordi","3"
"jpg","1"
"jugo","1"
"jurassic","1"
"kenia","1"
"kr","1"
"laia","1"
"lascia","1"
"lduf","1"
"le","8"
"leggi","5"
"leone","1"
"lesotho","1"
"lettere","2"
"limone","1"
"linee","1"
"linguaggio","1"
"list","1"
"lituania","1"
"llengua","1"
"lletra","1"
"lloc","1"
"locale","1"
"loro","3"
"lorry","1"
"lr","1"
"ls","1"
"lu","1"
"lupi","1"
"lupo","1"
"ma","4"
"macchina","1"
"maggior","2"
"mai","2"
"majoria","1"
"mancano","3"
"mandria","1"
"mangia","1"
"mano","1"
"manresa","1"
"mantenen","1"
"mapossono","1"
"mappa","2"
"marcar","1"
"maria","2"
"maschile","1"
"masculins","1"
"masculí","1"
"massimo","1"
"mateix","2"
"matematiche","1"
"material","1"
"mb","1"
"md","1"
"medio","1"
"memory","1"
"menja","1"
"meno","1"
"mentale","1"
"menu","2"
"metti","4"
"meves","1"
"mezzo","1"
"mi","2"
"microfono","1"
"mics","1"
"midi","1"
"migliore","1"
"minut","1"
"mireu","1"
"mn","1"
"mo","1"
"modalità","1"
"modificacions","1"
"modulo","1"
"moltiplicazioni","1"
"molto","7"
"monosillabe","1"
"morisc","1"
"morisca","1"
"moriscos","1"
"moriscs","1"
"morisques","1"
"mort","1"
"mostrano","1"
"mostrate","1"
"moto","1"
"motocicletta","1"
"motorcycle","1"
"mots","1"
"mozart","1"
"mp","1"
"mpeg","1"
"muda","1"
"mudes","1"
"multimedia","1"
"multimediale","1"
"multimediali","1"
"muntanyes","1"
"musica","1"
"musicali","1"
"mut","1"
"muts","1"
"món","1"
"nascoste","1"
"nb","1"
"ne","3"
"negoci","1"
"negra","1"
"negre","1"
"negres","1"
"nei","3"
"neix","1"
"nel","3"
"nell","3"
"nella","4"
"nelle","1"
"nivell","1"
"nom","1"
"nombre","2"
"nome","3"
"nomi","3"
"novità","1"
"np","1"
"nr","1"
"ns","1"
"nt","1"
"nu","1"
"numeri","3"
"numero","4"
"nuoto","1"
"nuova","1"
"nuove","1"
"nuovo","1"
"nuvolosit","1"
"ny","1"
"obiettivo","1"
"obj","1"
"objectiu","1"
"oblic","1"
"oblics","1"
"obliqua","2"
"obliqües","1"
"obrirà","1"
"occorra","1"
"occorre","1"
"offrivano","1"
"oggetto","1"
"oggi","1"
"ogni","6"
"ohhhh","1"
"operatore","1"
"operatori","1"
"operazioni","1"
"opzione","1"
"ordinare","1"
"ordine","4"
"oriente","1"
"origen","1"
"ortografica","1"
"ortogràfiques","1"
"os","1"
"ossigeno","1"
"ottimistica","1"
"pa","1"
"paesi","1"
"paragrafi","1"
"paraguay","1"
"parcs","1"
"park","1"
"parola","1"
"parole","3"
"parte","2"
"partir","1"
"pas","1"
"passat","1"
"passato","1"
"passes","1"
"passi","1"
"pb","1"
"pd","1"
"pecore","1"
"pel","1"
"pensa","1"
"pensat","1"
"penses","1"
"penso","1"
"pera","1"
"pere","1"
"perfetto","2"
"periodica","1"
"periodico","1"
"permette","2"
"permettono","1"
"personalizzabile","1"
"peru","1"
"perú","1"
"petites","1"
"pezzi","2"
"pirin","1"
"più","4"
"plena","1"
"plural","1"
"plurale","1"
"pm","1"
"png","1"
"po","1"
"pobra","1"
"pobre","1"
"pobres","1"
"poi","1"
"poligono","2"
"popul","1"
"porta","3"
"portar","1"
"porto","1"
"possono","2"
"pot","1"
"potete","1"
"pots","1"
"pr","1"
"precedente","2"
"precisió","1"
"predom","1"
"preguntat","1"
"presentano","2"
"presentarsi","1"
"presente","1"
"presentà","1"
"press","1"
"pressa","1"
"primavera","2"
"primera","1"
"principale","2"
"problemi","1"
"progetti","1"
"progetto","1"
"programma","1"
"propies","1"
