"WORD","HITS"
"abandonados","1"
"abandonar","1"
"abl","2"
"ablativo","1"
"aborígenes","1"
"abril","1"
"abuelo","1"
"abusos","1"
"ac","2"
"acabando","1"
"acabas","1"
"acoge","1"
"activa","1"
"activo","1"
"actuales","1"
"acu","1"
"acude","1"
"acueducto","1"
"acuerdo","2"
"acusativo","1"
"adelante","1"
"adjetivo","1"
"administraban","1"
"administración","1"
"administrado","1"
"administrar","1"
"administratur","1"
"administro","1"
"ae","1"
"afirmaciones","1"
"afrodita","2"
"agente","1"
"agricola","1"
"agricolae","1"
"agricultura","1"
"agua","1"
"aguanta","1"
"aguas","1"
"ahora","2"
"ahí","1"
"alba","1"
"allí","1"
"alto","1"
"ama","2"
"amabam","1"
"amabant","1"
"amabas","1"
"amabat","2"
"amagistratura","1"
"amamanta","1"
"amant","1"
"amare","1"
"amas","1"
"amat","1"
"amatum","1"
"amav","2"
"amaverim","1"
"amaverint","1"
"amaveris","1"
"amavi","1"
"amem","1"
"ament","1"
"ames","1"
"amet","1"
"amo","1"
"amor","1"
"amulio","1"
"analizar","1"
"anfiteatro","1"
"animos","1"
"anquises","1"
"antecedente","1"
"anterior","1"
"antiguo","1"
"análisis","2"
"aparecen","1"
"apartados","1"
"apias","1"
"apolo","1"
"appellari","1"
"aprenderías","1"
"aprobada","1"
"apropiada","1"
"aqua","2"
"aquam","1"
"aquilae","1"
"arat","1"
"arco","1"
"ares","2"
"arrojados","1"
"artemis","1"
"artes","1"
"arum","1"
"ascanio","1"
"asedio","1"
"asesina","1"
"asombro","1"
"aspectos","1"
"astorga","1"
"asturica","1"
"así","1"
"atacando","1"
"atención","1"
"atenea","1"
"atibuto","1"
"atributo","1"
"atrévete","1"
"audirem","1"
"audires","1"
"audiret","1"
"audiverint","1"
"audiveris","1"
"audivero","1"
"audivissetis","1"
"augusta","1"
"aura","1"
"auri","1"
"auris","1"
"auro","1"
"aurorum","1"
"aurum","1"
"autoproclama","1"
"autores","1"
"autoridad","1"
"ave","1"
"aventino","1"
"aves","1"
"ayer","1"
"año","1"
"años","1"
"aún","1"
"ba","2"
"baja","1"
"bajas","1"
"bará","1"
"beatam","1"
"belgae","1"
"belgas","1"
"belleza","1"
"bi","2"
"blanco","1"
"bo","2"
"bona","2"
"borra","1"
"botín","1"
"bracara","1"
"braga","1"
"bu","2"
"buitres","1"
"burlándose","1"
"busca","1"
"bética","1"
"caballería","1"
"cae","1"
"calagurris","1"
"calahorra","1"
"callo","1"
"cantar","1"
"cantat","1"
"capiam","2"
"capiat","1"
"capiunt","1"
"cartagena","2"
"cartaginense","1"
"cartago","2"
"casilla","1"
"caso","1"
"casos","1"
"castidad","1"
"castra","1"
"catilina","1"
"catilinarias","1"
"catulo","1"
"causa","1"
"caza","1"
"caído","1"
"caña","1"
"censo","1"
"censores","1"
"ceperit","1"
"cepissem","1"
"cepisses","1"
"cepisset","1"
"cerca","1"
"ceres","2"
"cesaraugusta","1"
"cesto","1"
"cicerón","1"
"cima","1"
"cinco","2"
"circunstancial","1"
"ciudad","1"
"ciudadana","1"
"ciudadanos","1"
"ciudades","1"
"civil","1"
"claro","1"
"clase","1"
"clasificado","1"
"cogiendo","1"
"coleando","1"
"coliseo","1"
"columba","1"
"comedia","1"
"comenzar","1"
"comercio","1"
"cometió","1"
"comienza","1"
"comienzo","1"
"comisión","1"
"comparación","1"
"comparativo","1"
"comparativos","1"
"compañeros","1"
"complemento","1"
"completa","2"
"completado","1"
"completar","1"
"completo","1"
"complicada","1"
"complicados","1"
"comprobar","1"
"compuesto","1"
"concejales","1"
"conciertan","1"
"condita","1"
"conjuga","1"
"conjugación","2"
"conjugando","1"
"conjugar","1"
"conjunción","1"
"conjuración","1"
"conseguido","1"
"conservada","1"
"construir","1"
"contra","1"
"controlaban","1"
"controlando","1"
"controlas","1"
"convierte","1"
"copulativa","1"
"copulativo","1"
"corduba","1"
"cornibus","1"
"cornu","1"
"cornua","1"
"cornui","1"
"cornus","1"
"cornuum","1"
"corre","1"
"correctas","1"
"corregir","2"
"corresponde","2"
"correspondiente","1"
"correspondientes","1"
"cosa","1"
"cosas","1"
"coser","1"
"costas","1"
"costumbres","1"
"creas","2"
"crecen","1"
"crees","1"
"criar","1"
"cuadraba","1"
"cuadrar","1"
"cualquier","1"
"cuarta","2"
"cuatro","1"
"cuenta","2"
"cuestión","1"
"cuestores","1"
"cueva","1"
"cultura","2"
"cursor","1"
"cursus","1"
"cápita","1"
"césar","1"
"cómo","1"
"cónsules","1"
"córdoba","1"
"da","1"
"dan","1"
"dat","1"
"dativo","1"
"dea","2"
"deberá","1"
"debes","2"
"debía","1"
"decaigas","1"
"decir","1"
"declara","1"
"declina","1"
"declinaciones","1"
"declinación","1"
"declínala","1"
"decía","1"
"dedicarte","1"
"dedicándose","1"
"defendían","1"
"dei","2"
"dejan","1"
"delectabat","1"
"delinación","1"
"demás","1"
"deméter","1"
"dependen","1"
"derecha","2"
"derechos","1"
"derrotado","1"
"desavenencias","1"
"descendencia","1"
"descubre","1"
"deserebantur","1"
"desero","1"
"despoja","1"
"después","2"
"destruida","1"
"determinados","1"
"deus","2"
"diana","2"
"diccionario","1"
"dicción","1"
"diciendo","1"
"dictador","1"
"dicturum","1"
"diera","1"
"diez","1"
"diferentes","1"
"dificilillo","1"
"difunto","1"
"dijo","1"
"dios","1"
"diosa","1"
"dioses","1"
"directo","1"
"dirigido","1"
"dirigir","1"
"dirigían","1"
"discipulorum","1"
"discurso","1"
"discuten","1"
"divisa","1"
"diviértete","1"
"dixeram","1"
"dixeras","1"
"dixerat","1"
"dixisse","1"
"dixit","1"
"doce","1"
"doctor","1"
"dominar","1"
"dominas","1"
"dominus","1"
"ducam","1"
"duce","1"
"duces","1"
"ducet","1"
"dulce","1"
"dulcior","1"
"durante","1"
"durar","1"
"dónde","1"
"ebus","1"
"edad","1"
"ediles","1"
"educa","1"
"ei","1"
"ejercicio","1"
"ejercicios","1"
"ejército","1"
"elegido","1"
"elegir","1"
"elige","1"
"ello","1"
"em","2"
"emerita","1"
"empezamos","1"
"empieces","1"
"empieza","2"
"empiezas","1"
"encargaban","1"
"encargados","1"
"encolerizados","1"
"encontramos","1"
"eneas","1"
"eneida","1"
"enfurece","1"
"entendimiento","1"
"enterando","1"
"entregará","1"
"enunciada","1"
"enunciado","2"
"epistola","1"
"epistolar","1"
"er","1"
"ere","2"
"eri","2"
"erit","1"
"ero","2"
"errar","1"
"erum","1"
"erunt","2"
"esa","1"
"esclavos","1"
"escribir","1"
"ese","1"
"especial","1"
"esperaba","1"
"esperarán","1"
"esposa","1"
"esse","2"
"est","2"
"estancado","1"
"estas","2"
"este","2"
"esto","1"
"estos","1"
"está","2"
"estás","1"
"europa","2"
"evitar","2"
"excecianl","1"
"exceso","1"
"exercitus","1"
"expertos","1"
"expresa","1"
"expresar","1"
"expugnaverunt","1"
"exsul","1"
"exsule","1"
"exsulem","1"
"exsules","1"
"exsuli","1"
"exsulibus","1"
"exsulis","1"
"exsulum","1"
"extranjero","1"
"extraordinaria","1"
"facilito","1"
"fantástico","1"
"faústulo","1"
"fecha","1"
"fenómeno","1"
"fide","1"
"fidebus","1"
"fidei","1"
"fidem","1"
"fiderum","1"
"fides","1"
"fiestas","1"
"filípicas","1"
"finalmente","1"
"flavio","1"
"fondos","1"
"formas","2"
"fortissimi","1"
"fortuna","1"
"franquear","1"
"frase","1"
"frases","1"
"frater","1"
"fratre","1"
"fratrem","1"
"fratres","1"
"fratri","1"
"fratribus","1"
"fratricida","1"
"fratris","1"
"fratrum","1"
"frumenta","1"
"fuego","1"
"fuertes","1"
"fuisse","1"
"funciona","1"
"función","1"
"funda","1"
"fundacional","1"
"fundación","1"
"fundador","1"
"fundar","1"
"futuro","2"
"fácil","2"
"galias","1"
"gallaecia","1"
"gallorum","1"
"galos","1"
"gasto","1"
"ge","1"
"gemelos","1"
"gen","1"
"gener","1"
"general","1"
"generi","1"
"generis","1"
"genero","1"
"generorum","1"
"generos","1"
"generum","1"
"genial","1"
"genitivo","1"
"gladio","1"
"gobierno","2"
"grado","1"
"griego","1"
"griegos","1"
"guerra","2"
"guturales","1"
"género","1"
"habebat","1"
"habendum","1"
"habere","2"
"había","2"
"habían","2"
"hacia","1"
"hacía","2"
"hasta","2"
"hayas","1"
"hecho","1"
"hechos","1"
"hefesto","1"
"hemos","2"
"hera","2"
"hermano","1"
"hermanos","1"
"hermes","2"
"hestia","1"
"higuera","1"
"hija","1"
"hijo","1"
"hijos","1"
"hispalis","1"
"hispania","1"
"historia","1"
"historiadores","1"
"hogar","1"
"honor","1"
"honoris","1"
"honorum","1"
"hortum","1"
"hoy","1"
"hueco","1"
