WORD,HITS
ben,15
eth,15
ua,14
dera,13
ei,13
fòrça,13
rectangle,13
aguesta,12
carrega,12
cinc,12
damb,12
deth,12
er,12
escota,12
espera,12
fantastic,12
nòm,12
pantalla,12
paquet,12
paraules,12
perfècte,12
ara,11
ath,11
excellent,11
lieg,11
pas,11
tròba,11
aguest,10
cap,10
casa,10
compara,10
complèta,10
dia,10
dus,10
ena,10
entà,10
esplendid,10
hè,10
hèt,10
mès,10
paraula,10
plan,10
quate,10
repetís,10
sies,10
sò,10
tres,10
ueit,10
agrade,9
bon,9
cerca,9
coma,9
diboish,9
ditz,9
ère,9
frases,9
guaire,9
nau,9
òc,9
sòn,9
tà,9
aguesti,8
aigua,8
auie,8
bric,8
ciutat,8
çò,8
coche,8
der,8
dètz,8
dues,8
esquèrra,8
exacte,8
faus,8
lèu,8
mes,8
met,8
nòms,8
ores,8
parelha,8
peish,8
pera,8
respon,8
sabates,8
sèt,8
vos,8
ac,7
aciu,7
aguestes,7
amor,7
arren,7
aumplís,7
barri,7
bona,7
calaish,7
carn,7
darrèr,7
dies,7
dreta,7
escòla,7
fragment,7
gojat,7
hemna,7
hèr,7
joan,7
letres,7
long,7
massa,7
mèn,7
miei,7
mos,7
mots,7
net,7
obsèrva,7
ostiu,7
peu,7
pòrta,7
pòt,7
pr,7
semble,7
solei,7
tan,7
tath,7
trabalhe,7
uets,7
vacances,7
vertadèr,7
vestit,7
viatge,7
vòu,7
açò,6
adequada,6
adjectius,6
agraden,6
aquera,6
arrir,6
audèth,6
aué,6
banc,6
barra,6
cafè,6
chicolate,6
corrècte,6
corresponenta,6
dempús,6
deuant,6
diboishi,6
dimenge,6
dissabte,6
doç,6
dotze,6
èm,6
enes,6
ès,6
èster,6
fenomenau,6
forma,6
fotbòl,6
frasa,6
gat,6
gelèra,6
gojata,6
heired,6
iniciacion,6
jamès,6
joen,6
junh,6
laguens,6
lhet,6
lòc,6
lunetes,6
maitin,6
manquen,6
mau,6
mèstre,6
mètge,6
mia,6
mieja,6
minjar,6
ne,6
òme,6
ora,6
pan,6
papèr,6
pastís,6
pè,6
petita,6
plaça,6
pòble,6
pòs,6
quaranta,6
senhor,6
senhora,6
sopa,6
sopar,6
sua,6
tara,6
tard,6
tarde,6
telefòn,6
temps,6
tomata,6
trist,6
vin,6
vint,6
vòs,6
ad,5
adequat,5
ager,5
alh,5
amics,5
amigues,5
anciam,5
apregondiment,5
arradim,5
arribar,5
assòcia,5
auer,5
aute,5
avienta,5
barcelona,5
béuer,5
calor,5
cambi,5
camisa,5
carme,5
carròta,5
charraire,5
claus,5
començar,5
comencèc,5
córrer,5
correspon,5
delàger,5
deluns,5
deman,5
dents,5
diden,5
digui,5
dimars,5
dinar,5
dit,5
dusau,5
encara,5
enquiàs,5
enteneràs,5
escríuer,5
estudiant,5
exemple,5
fèbre,5
flaira,5
flor,5
flors,5
fruta,5
giqueta,5
gras,5
hec,5
hèn,5
hès,5
hilh,5
hilhs,5
huec,5
informacion,5
iranja,5
lèit,5
libre,5
liure,5
loís,5
mair,5
man,5
maria,5
mens,5
minjador,5
mo,5
montanha,5
naut,5
nauta,5
numero,5
onze,5
pantalons,5
passat,5
passeg,5
pellicula,5
persona,5
peth,5
petit,5
petiti,5
pis,5
plaja,5
pòc,5
portar,5
pòrte,5
préner,5
pro,5
professor,5
pròp,5
pujar,5
quilò,5
quini,5
ramon,5
ròsa,5
sabata,5
sabi,5
sau,5
segontes,5
sèir,5
seishanta,5
sénher,5
setanta,5
setmana,5
sonque,5
tanben,5
tàs,5
tèrra,5
tòn,5
tostemp,5
toti,5
trabalh,5
triga,5
tua,5
vau,5
vèrbs,5
vielh,5
vrèspe,5
agost,4
aire,4
aliments,4
amic,4
ample,4
ampolha,4
anat,4
anglesa,4
apréner,4
aquerò,4
aqueth,4
ar,4
arbe,4
arrés,4
arribat,4
arròs,4
atau,4
auca,4
autes,4
auti,4
autobús,4
avaloracion,4
avient,4
baish,4
bèra,4
besonh,4
bèth,4
blanc,4
blu,4
boeta,4
bones,4
bòsc,4
botiga,4
braç,4
bruna,4
cagira,4
caishau,4
camin,4
caminar,4
cansat,4
carrèr,4
cases,4
cau,4
causa,4
cinquanta,4
classa,4
clau,4
client,4
coches,4
codina,4
compdar,4
conéisher,4
confetura,4
corrècta,4
cors,4
cosia,4
costat,4
creion,4
crompar,4
dar,4
demanar,4
dessús,4
deu,4
didec,4
díder,4
dimenjada,4
dimèrcles,4
diuendres,4
doça,4
docha,4
dret,4
dromir,4
enric,4
entrar,4
eri,4
escotar,4
espitau,4
estacion,4
estarè,4
estimi,4
estona,4
estudiar,4
expression,4
finau,4
formen,4
fragments,4
francesc,4
gésser,4
gojates,4
gràcies,4
greu,4
gust,4
hame,4
haria,4
hège,4
hèm,4
hèsqui,4
hèsta,4
hètz,4
hilha,4
huelhes,4
imatge,4
indiquen,4
iranges,4
iuèrn,4
jòc,4
lauadora,4
lèg,4
lheuar,4
liéger,4
lum,4
madeish,4
mainada,4
mainatges,4
malaut,4
mans,4
març,4
marta,4
mecanic,4
mèns,4
mercat,4
mete,4
mètre,4
miches,4
mil,4
mòbles,4
mot,4
musica,4
nere,4
nhèu,4
nòsta,4
òli,4
oncle,4
opcion,4
pair,4
parcatge,4
parlar,4
parle,4
passe,4
pau,4
pelejar,4
pendent,4
penses,4
pensi,4
perdut,4
pere,4
personatges,4
pes,4
plorar,4
pòcha,4
pòden,4
policia,4
poret,4
pòts,4
pòur,4
president,4
prumèr,4
quadre,4
quart,4
quede,4
ràdio,4
restaurant,4
ròia,4
saumet,4
senhala,4
sèrp,4
servir,4
sèti,4
setze,4
shinhau,4
sièta,4
sillabes,4
simpatic,4
sòns,4
sucre,4
tar,4
taula,4
teatre,4
televisor,4
terrassa,4
tia,4
tornat,4
tornavitz,4
tostemps,4
tovalhòla,4
trabalhar,4
trèir,4
tren,4
trenta,4
tretze,4
tricòt,4
tròbi,4
truhes,4
ueus,4
universitat,4
vaca,4
vam,4
vas,4
vasso,4
ve,4
veir,4
veiràs,4
ven,4
vèrb,4
verd,4
verdura,4
vesins,4
visitar,4
vist,4
viui,4
vosté,4
zèro,4
abric,3
acabar,3
acabat,3
acadèmia,3
accident,3
acòrd,3
adjectiu,3
agut,3
ai,3
ajudar,3
alavetz,3
alugar,3
amiga,3
ampolhes,3
anaram,3
anarè,3
anhèth,3
animaus,3
antic,3
apraiar,3
aqueres,3
aquiu,3
arbes,3
armari,3
arribe,3
arribèc,3
arribèren,3
arrís,3
auem,3
auies,3
