"WORD","HITS"
"afegits","1"
"agrupa","1"
"agrupen","1"
"aigua","1"
"ail","1"
"ajuda","2"
"aliment","1"
"alimentaris","1"
"aliments","1"
"amande","1"
"amandes","1"
"ananás","1"
"animales","1"
"aquestes","4"
"assemblen","1"
"assimilable","1"
"banana","1"
"batata","1"
"batatapfl","1"
"begudes","1"
"berinjela","1"
"beurre","1"
"blat","1"
"blau","1"
"blé","1"
"boissons","1"
"bon","3"
"bonbons","1"
"botó","1"
"brócolis","1"
"busca","1"
"cal","2"
"calci","1"
"calcium","1"
"carboni","1"
"carn","2"
"carns","1"
"cas","2"
"caselles","1"
"català","4"
"cebola","1"
"cenoura","1"
"cereals","1"
"cereja","2"
"cervell","1"
"champignon","1"
"champignons","1"
"chiches","1"
"chocolat","1"
"civada","1"
"color","4"
"comme","3"
"complexes","1"
"confitures","1"
"contenen","1"
"corporals","1"
"corresponent","2"
"corresponents","1"
"cos","2"
"courge","1"
"creixement","1"
"creus","1"
"crevette","1"
"crème","2"
"defenses","1"
"descobreix","2"
"desenvolupament","1"
"diccionari","1"
"d’energia","1"
"d’estructures","1"
"d’énergie","2"
"ea","1"
"eau","2"
"ednaiv","1"
"ee","1"
"encreuat","1"
"ensucrats","1"
"escriu","1"
"esquerra","1"
"essentiels","2"
"estiguin","1"
"etiel","1"
"facilement","1"
"feijao","1"
"feijão","2"
"fent","1"
"ferro","2"
"fibres","1"
"font","2"
"formació","1"
"forts","1"
"francès","4"
"frango","1"
"fraîche","1"
"fromage","1"
"fruites","1"
"funcionament","1"
"fècules","1"
"fèves","1"
"glucides","1"
"graisses","2"
"gras","1"
"greixos","1"
"grup","3"
"gufrango","1"
"gâteau","1"
"hidrats","1"
"hortalisses","1"
"huiles","1"
"hydrosolubles","1"
"icona","1"
"imatge","3"
"imatges","2"
"informació","2"
"lactics","1"
"lait","2"
"laitue","1"
"laranja","2"
"leite","1"
"lentilles","1"
"lipides","1"
"liposolubles","1"
"llegums","1"
"lletra","1"
"lletres","1"
"llista","1"
"l’amidon","1"
