"WORD","HITS"
"algoritm","1"
"algortim","1"
"alu","1"
"amd","1"
"annat","1"
"ansluter","1"
"ar","1"
"arkitektur","1"
"atom","1"
"av","1"
"bokstäver","1"
"boxed","1"
"bra","1"
"budget","1"
"bus","1"
"bussar","1"
"bussen","1"
"bärbar","1"
"bättre","1"
"cache","1"
"cell","1"
"cisc","1"
"core","1"
"cpu","1"
"cpuid","1"
"crusoe","1"
"dagens","1"
"databuss","1"
"den","1"
"desktop","1"
"det","1"
"detta","1"
"dolda","1"
"dt","1"
"du","1"
"dx","1"
"engelska","1"
"enigma","1"
"ett","1"
"factor","1"
"form","1"
"front","1"
"frågorna","1"
"fsb","1"
"för","1"
"försök","1"
"har","1"
"harvard","1"
"hastighet","1"
"historik","1"
"hitta","1"
"igen","1"
"ihop","1"
"imponerande","1"
"indentifierar","1"
"instruktion","1"
"instruktionm","1"
"intel","1"
"interface","1"
"interfacevo","1"
"kallas","1"
"kan","1"
"kanon","1"
"klocka","1"
"konsumption","1"
"koppla","1"
"korrekt","1"
"korsord","1"
"lga","1"
"ligger","1"
"main","1"
"manufacturing","1"
"med","1"
"menu","1"
"minut","1"
"minuter","1"
"moore","1"
"mooreri","1"
"motorola","1"
"mycket","1"
"namn","1"
"nanometer","1"
"nehalem","1"
"neumann","1"
"neumanni","1"
"nix","1"
"nja","1"
"nm","1"
"något","1"
"och","1"
"oftast","1"
"om","1"
"package","1"
"paket","1"
"pcg","1"
"pentium","1"
"phenom","1"
"powerpc","1"
"processor","1"
"processorer","1"
"processorn","1"
"processorns","1"
"processorsammanhang","1"
"på","1"
"ram","1"
"register","1"
"rg","1"
"risc","1"
"saknas","1"
"server","1"
"side","1"
"skämtar","1"
"sockel","1"
"sony","1"
"sparc","1"
"specificerar","1"
"specifikationer","1"
"specs","1"
"speed","1"
"sprocessor","1"
"sregistere","1"
"string","1"
"sträng","1"
"strängen","1"
"strålande","1"
"styrenhet","1"
"sun","1"
"svara","1"
"systemenhet","1"
"systemenheten","1"
"technology","1"
"till","1"
"tillverkare","1"
"tillverkningsteknologi","1"
"tower","1"
"transmeta","1"
"turing","1"
"turion","1"
"type","1"
"typen","1"
"tyvärr","1"
"usch","1"
"utveckling","1"
"väldigt","1"
"välj","1"
"westmeres","1"
"wow","1"
"xeon","1"
"än","1"
"är","1"
"år","1"
"årsgaranti","1"
