"WORD","HITS"
"ama","1"
"amarillo","1"
"antalo","1"
"arillo","1"
"atelcicib","1"
"au","1"
"aut","1"
"autobus","1"
"azu","1"
"azul","1"
"bicicleta","1"
"bosque","1"
"ch","1"
"chaleco","1"
"chaqueta","1"
"char","1"
"chill","1"
"cl","1"
"coche","1"
"colores","1"
"cu","1"
"cuchara","1"
"cuchillo","1"
"cueva","1"
"cueva}","1"
"ene","1"
"erde","1"
"estaciones","1"
"falda","1"
"haque","1"
"hara","1"
"hillo","1"
"ier","1"
"illo","1"
"invierno","1"
"io","1"
"ld","1"
"le","1"
"lugares","1"
"luza","1"
"montaña","1"
"ned","1"
"nt","1"
"nvi","1"
"ocelahc","1"
"ojo","1"
"olé","1"
"os","1"
"otoño","1"
"pantalon","1"
"perfect","1"
"pr","1"
"primavera","1"
"ren","1"
"ri","1"
"rimave","1"
"rio","1"
"rn","1"
"ro","1"
"rodenet","1"
"rojo","1"
"squ","1"
"tenedor","1"
"tr","1"
"transportes","1"
"tren","1"
"ue","1"
"ul","1"
"vajilla","1"
"vaso","1"
"verano","1"
"veranon","1"
"verde","1"
"vestido","1"
"óle","1"
